Location,YEAR,TOTAL_COLLISIONS,BICYLCLES_IN_TOTAL,PEDESTRIANS_IN_TOTAL,X,Y
AIRPORT PKWY btwn AIRPORT PKWY/HUNT CLUB RAMP 42 & WALKLEY RD NB RAMP (__3ZAZP9),2015,1,,,370381.97105,5024701.93405
AIRPORT PKWY btwn AIRPORT PKWY/WALKLEY RD SOUTHBOUND ON RAMP           (__3ZA1KS),2015,3,,,370193.3724,5025324.93964
AIRPORT PKWY btwn BROOKFIELD RAMP 34 & BRONSON AVE RAMP 24C (__3ZA229),2015,4,,,368727.40071,5026623.37965
AIRPORT PKWY btwn BROOKFIELD RAMP 34 & BROOKFIELD RAMP 52B (__3ZA228),2015,4,,,368788.12796,5026439.98868
AIRPORT PKWY btwn RAMP & AIRPORT PKWY (2) (__3ZA22Z),2015,1,,,370952.37674,5023858.87673
AIRPORT PKWY btwn RAMP & RAMP (1) (__3ZA223),2015,4,,,368980.61684,5026178.96147
AIRPORT PKWY btwn RAMP & RAMP (2) (__3ZA224),2015,2,,,368860.81708,5026297.60721
AIRPORT PKWY btwn RAMP & RAMP (4) (__3ZA22T),2015,6,,,371151.9837,5022441.26478
AIRPORT PKWY btwn RAMP & TO BE DETERMINED (__3ZA222),2015,5,,,369680.53613,5025879.68038
AIRPORT PKWY PRIV WB @ AIRPORT PKWY PRIV RAMP (0013153),2015,1,,,370432.706,5020751.6351
AIRPORT PKWY/ALERT/UPLANDS/LESTER/RAMP62 btwn LESTER RD & AIRPORT PKWY (__3ZAY9A),2015,1,,,371286.95522,5021488.14978
ALADDIN LANE @ ALBION RD (0009560),2015,1,,,372584.737,5022591.503
ALBANY DR btwn NAVAHO DR & CLINE CRES (__3ZAANU),2015,1,,,363134.37597,5024950.05034
ALBERT ST @ BANK ST (0002115),2015,4,,1,367385.703,5031423.577
ALBERT ST @ BAY ST (0006357),2015,3,,,366942.7019,5031143.5751
ALBERT ST @ BRONSON AVE (0002160),2015,2,,,366739.7019,5031016.574
ALBERT ST @ COMMISSIONER ST (0002171),2015,1,,,366713.7011,5030971.574
ALBERT ST @ ELGIN ST/MACKENZIE KING BRIDGE (0002226),2015,9,,,367850.7049,5031711.5789
ALBERT ST @ EMPRESS AVE (0010851),2015,3,,,366576.7011,5030720.571
ALBERT ST @ KENT ST (OTTAWA) (0003136),2015,3,,1,367221.703,5031319.5759
ALBERT ST @ LYON ST (0002208),2015,6,,,367062.7019,5031219.5759
ALBERT ST @ METCALFE ST (0002117),2015,2,,,367691.7041,5031613.5789
ALBERT ST @ O'CONNOR ST (0002116),2015,2,,,367538.7041,5031520.5781
ALBERT ST @ PRESTON ST (0002217),2015,9,,,366160.7,5030464.569
ALBERT ST btwn BANK ST & O'CONNOR ST (__3ZA35O),2015,2,,,367462.20355,5031472.07755
ALBERT ST btwn BAY ST & LYON ST N (__3ZA33B),2015,1,,,367002.7019,5031181.5755
ALBERT ST btwn BRONSON AVE & BAY ST (__3ZA339),2015,3,,,366840.50857,5031081.06263
ALBERT ST btwn Continuation of ALBERT ST & BOOTH ST (__3ZA2G2),2015,1,,,366362.46411,5030584.93547
ALBERT ST btwn KENT ST & BANK ST (__3ZA3CA),2015,6,,,367303.703,5031371.57645
ALBERT ST btwn METCALFE ST & ELGIN ST (__3ZA353),2015,4,,,367770.69742,5031663.55427
ALBERT ST btwn O'CONNOR ST & METCALFE ST (__3ZA35U),2015,1,,,367615.2041,5031567.0785
ALBERT ST btwn PRESTON ST & Continuation of ALBERT ST (__3ZA33O),2015,3,,,366226.7,5030507.06955
ALBERT ST btwn SCOTT ST & CITY CENTRE AVE (2) (__3ZA32WB),2015,1,,,365881.76166,5030311.82342
ALBION RD    S btwn HUNT CLUB RD & TURN LANE (__5AEE0C),2015,1,,,371875.2196,5024306.6475
ALBION RD    S btwn TURN LANE & ALBION RD (__3ZA9WD),2015,2,,,371908.12957,5024224.68238
ALBION RD @ BANK ST (0012409),2015,8,1,1,371946.7321,5024129.514
ALBION RD @ BRIDLE PATH DR (0009630),2015,1,,,372106.7329,5023740.511
ALBION RD @ CAHILL DR (0007499),2015,2,,,371725.731,5024668.5181
ALBION RD @ DEL ZOTTO AVE (0009359),2015,1,,,373791.7441,5019723.4819
ALBION RD @ FINDLAY CREEK DR (0013587),2015,3,1,,374010.0249,5019208.543
ALBION RD @ HUNT CLUB RD (0006974),2015,15,,,371869.4921,5024320.809
ALBION RD @ JOHNSTON RD (0006883),2015,1,,,371502.729,5025225.523
ALBION RD @ KITCHENER AVE (0012080),2015,1,,,371220.9641,5025902.4279
ALBION RD @ LESTER RD (0004175),2015,5,,,372694.737,5022332.5011
ALBION RD @ MAPLE KEY PRIV (0013579),2015,1,,,372626.749,5022492.3
ALBION RD @ MITCH OWENS RD (0004212),2015,9,,,375906.754,5014804.4471
ALBION RD @ RIDEAU RD (0009356),2015,4,,,375092.751,5016674.4611
ALBION RD @ RIDGEDALE ST (0009569),2015,1,,,372400.7351,5023034.506
ALBION RD @ ROSEBELLA AVE (0009551),2015,1,,,372386.7351,5023064.506
ALBION RD @ SOUTHGATE RD/ROYAL OAK CRT (0006985),2015,1,,,371817.731,5024443.517
ALBION RD @ WYLDEWOOD ST (0009604),2015,2,,,372292.7351,5023293.5079
ALBION RD btwn 210 S OF HIGH RD/EARL ARMSTRONG RD/RIDEAU CARLETON RACE (__3ZA3S0B),2015,1,,,374903.31101,5017109.99726
ALBION RD btwn BANK ST & DES MESANGES DR (__3ZBORZ),2015,4,,,371967.27531,5024074.13666
ALBION RD btwn COLLISTON CRES & LILIBET CRES (__4BSGQS),2015,1,,,371067.43055,5026273.01305
ALBION RD btwn DEL ZOTTO AVE & HIGH RD (__3ZBOF9),2015,3,,,374317.7766,5018477.24117
ALBION RD btwn DES MESANGES DR & FORGE ST (__3ZA9W0),2015,1,,,372032.7329,5023916.0125
ALBION RD btwn EMERALD GATE AVE & QUEENSDALE AVE (__3ZA8OS),2015,1,,,372439.2359,5022940.5049
ALBION RD btwn LESTER RD & LEITRIM RD (__3ZA3SQ),2015,5,,,373095.20227,5021375.49096
ALBION RD btwn MASSICOTTE LANE & BRAMPTON RD (__3ZBOR1),2015,1,,,372154.56923,5023625.6413
ALBION RD btwn QUINN RD & DEL ZOTTO AVE (__3ZA3SA),2015,1,,,373711.44124,5019914.31163
ALBION RD btwn RIDEAU RD & TULLAMORE ST (__5RGNIJ),2015,8,,,375369.49025,5016038.18623
ALBION RD btwn WYLDEWOOD ST & GOTH AVE (__3ZA9WP),2015,1,,,372312.7351,5023246.0075
ALBION RD/COLLISTON CRES E @ WALKLEY RD (0011422),2015,6,,2,371033.726,5026354.531
ALDERCREST DR btwn OAKVIEW AVE & SPRING GARDEN AVE (__3ZAASH),2015,1,,,364342.1951,5022857.003
ALDERWOOD ST @ MCMAHON AVE (0009016),2015,1,,,372191.734,5023029.506
ALERT RD/AIRPORT PKWY/UPLANDS DR RAMP 62 @ LES (0003652),2015,4,,,371306.7011,5021353.7841
ALESTHER ST @ DONALD ST (0008493),2015,2,,,371992.7181,5032460.5789
ALESTHER ST btwn DUNBRACK ST & DONALD ST (__3ZA81A),2015,1,,,371976.7181,5032500.57945
ALFRED ST @ MONTREAL RD (0009799),2015,1,,,370944.7121,5033530.591
ALGOMA RD @ COMSTOCK RD (0008739),2015,1,,,373661.7279,5031107.5641
ALGOMA RD btwn KENASTON ST & COMSTOCK RD (__3ZA1HA),2015,1,,,373447.24757,5031060.10599
ALLBIRCH RD btwn SHADY LANE & BISHOP DAVIS DR (__3ZAC7K),2015,1,,,337292.33522,5038897.28
ALLEN BLVD @ MCARTHUR AVE (0009809),2015,2,,,370750.7129,5032749.5841
ALLENBY RD btwn IPSWICH TER & COLLINGWOOD CRES (__3ZACVO),2015,1,,,349422.7653,5023092.34522
ALLOWAY CRES btwn PLUMBER AVE & CHARLTON DR (__3ZBO1F),2015,1,,,372979.02443,5033256.91434
ALPINE AVE @ CARLING AVE (0011382),2015,5,,,360496.677,5024942.5189
ALTA VISTA DR @ BANK ST (0011318),2015,7,,,370248.0729,5026200.7359
ALTA VISTA DR @ CUNNINGHAM AVE (0008112),2015,2,,,370344.72,5028017.5449
ALTA VISTA DR @ DORION AVE (0007456),2015,1,,,370672.7181,5030134.5619
ALTA VISTA DR @ FAIRCREST RD (0007580),2015,1,,,370432.7189,5028971.5521
ALTA VISTA DR @ KILBORN AVE (0008082),2015,3,,,370365.7211,5027751.543
ALTA VISTA DR @ MICMAC ST (0008079),2015,2,,,370373.7211,5027668.5419
ALTA VISTA DR @ RANDALL AVE (0008072),2015,5,,1,370410.9249,5027364.8879
ALTA VISTA DR @ RIDGEMONT AVE (0007000),2015,1,,,370517.723,5026673.534
ALTA VISTA DR @ ROGER RD (0007583),2015,1,,,370405.7189,5028878.5521
ALTA VISTA DR @ SMYTH RD (0011353),2015,29,,,370432.7189,5029081.5529
ALTA VISTA DR @ VALOUR DR (0012073),2015,2,,,370439.7181,5029581.557
ALTA VISTA DR @ WESMAR DR (0007865),2015,1,,,370478.2641,5026989.1981
ALTA VISTA DR btwn 75 S OF CALEDON ST & CALEDON ST (__3ZA97HA),2015,2,,,370773.19249,5030386.37381
ALTA VISTA DR btwn AYERS AVE & RIDGEMONT AVE (__3ZBORT),2015,3,,,370524.37438,5026518.86017
ALTA VISTA DR btwn BANK ST & EDGE HILL PL (__3ZA0TQ),2015,1,,,370314.82703,5026239.82411
ALTA VISTA DR btwn BILLINGS AVE & PLEASANT PARK RD (__3ZBOTQ),2015,1,,,370358.22,5028539.5489
ALTA VISTA DR btwn CLONTARF AVE & RANDALL AVE (__3ZBOTF),2015,1,,,370398.323,5027462.2145
ALTA VISTA DR btwn DALE AVE & 75 S OF CALEDON ST (__3ZA97HB),2015,2,,,370727.7842,5030275.078
ALTA VISTA DR btwn DORION AVE & DALE AVE (__3ZA963),2015,1,,,370686.06054,5030166.25019
ALTA VISTA DR btwn FAIRCREST RD & SMYTH RD (__3ZA9LC),2015,1,,,370435.69762,5029026.36141
ALTA VISTA DR btwn HERON RD & RIDGEMONT AVE (__3ZA862),2015,2,,,370504.80051,5026787.9915
