Location,YEAR,TOTAL_COLLISIONS,BICYLCLES_IN_TOTAL,PEDESTRIANS_IN_TOTAL,X,Y
BRIDGE ST/MAPLE AVE @ MANOTICK MAIN ST (0008225),2015,5,,,368699.7041,5009932.3951
BRIDGESTONE DR @ FOXHALL WAY (0013836),2015,1,,,355179.009,5016442.8499
BRIDGESTONE DR @ SADDLESMITH CIRC (0012548),2015,1,,,355452.4249,5015933.0589
BRIDGESTONE DR btwn EQUESTRIAN DR & WAYMARK CRES (__51OYT4),2015,1,,,355321.95195,5016237.05395
BRIDGESTONE DR btwn SUNNYBROOKE DR & GRANITE CRT (__3ZA1CL),2015,1,,,355251.13452,5015603.93657
BRIDGESTONE DR/STEEPLE CHASE DR @ STONEHAVEN D (0002781),2015,1,,,355105.6321,5016984.4471
BRIDLE PARK DR @ STONEHAVEN DR (0012661),2015,2,,,356108.3789,5016318.2649
BRIDLE PARK DR btwn EQUESTRIAN DR & RIVERGREEN CRES (__3ZAZRD),2015,1,,,355340.61724,5016305.27646
BRIDLE PATH DR @ PIMLICO CRES N (0012450),2015,1,,1,371329.7299,5023792.5121
BRIDLE PATH DR btwn TRAPPER'S RD & CAROUSEL CRES (__3ZA9BD),2015,1,,,371841.54211,5023596.51615
BRIGADE AVE @ STITTSVILLE MAIN ST (0000078),2015,2,,,350950.589,5012496.4129
BRIGITTA ST btwn ROMINA ST & OPUS ST (__6OD787),2015,1,,,354597.70213,5015321.98146
BRISTOL AVE @ SUNNYSIDE AVE (0008018),2015,1,,,369241.714,5028891.5529
BRITANNIA RD @ CARLING AVE (0002777),2015,1,,1,360174.6751,5024738.517
BRITANNIA RD @ HOWE ST (0002889),2015,1,1,,359920.674,5025320.523
BRITANNIA RD @ MARIE ST (0002592),2015,1,,,360105.6751,5024895.5189
BRITANNIA RD btwn CASSELS ST & ROWATT ST (__3ZAAEU),2015,1,,,359606.1729,5025953.52805
BRITANNIA RD btwn CONN ST & PRISCILLA ST (__3ZBNG1),2015,1,,,360059.67455,5025005.52
BRITTANY DR @ MONTREAL RD (0007685),2015,6,,,371912.714,5033994.5929
BRITTANY DR btwn BANGS ST & TRURO ST (__3ZA8DJ),2015,3,,,371655.46431,5034366.40048
BRITTANY DR btwn COLEFORD PL & BANGS ST (__3ZA8DQ),2015,1,,,371493.61529,5034370.39519
BRITTANY DR btwn KRISTIN WAY & MONTREAL RD (__3ZA8IX),2015,1,,,371881.714,5034065.594
BRITTANY DR btwn QUARRY RD & KRISTIN WAY (__3ZA1M0),2015,1,,,371819.21345,5034210.0955
BRITTANY DR btwn TRURO ST & QUARRY RD (__3ZA1M9),2015,1,,,371773.89067,5034315.84861
BROAD ST @ OTTAWA RIVER PKWY (0011719),2015,1,,,366127.2384,5030907.9449
BROADMOOR AVE btwn SMYTH RD & ROGER RD (__3ZA9LZ),2015,1,,,371036.2219,5029037.0525
BROADVIEW AVE @ BYRON AVE (0006231),2015,2,,,362695.883,5027833.2871
BROADVIEW AVE @ RICHMOND RD (0006612),2015,2,,,362679.6879,5027865.546
BROADVIEW AVE btwn AVONDALE AVE & DOVERCOURT AVE (__3ZA0RQ),2015,1,,,362951.189,5027199.04055
BROADVIEW AVE btwn CARLING AVE & KERR AVE (__3ZA0EL),2015,2,,,363212.45511,5026587.37928
BROADVIEW AVE btwn WELLESLEY AVE & CARLING AVE (__3ZA0N7),2015,1,,,363161.54165,5026683.21525
BROCKINGTON CRES btwn ABITIBI CRES & MEDHURST DR (__3ZA0EG),2015,1,,,363529.03152,5021933.6307
BROMLEY RD @ SHERBOURNE RD (0011219),2015,2,,,362924.0901,5026580.1271
BROMLEY RD btwn WEMBLEY AVE & SHERBOURNE RD (__3ZAA62),2015,1,,,362890.31096,5026558.95394
BRONSON AVE @ BRONSON AVE NB ON RAMP 42 (0011234),2015,1,,,367753.1879,5028446.5499
BRONSON AVE @ BRONSON AVE SB OFF RAMP 34 (0002019),2015,1,,,367748.709,5028477.551
BRONSON AVE @ BRONSON AVE SB ON RAMP 43 (0011236),2015,2,,,367797.709,5028318.549
BRONSON AVE @ CARLING AVE/GLEBE AVE (0002134),2015,13,,2,367447.7071,5029335.5581
BRONSON AVE @ CATHERINE ST/RAYMOND ST (0007198),2015,19,,,367252.7049,5029796.563
BRONSON AVE @ CHRISTIE ST (0006349),2015,1,,,367050.7041,5030280.5671
BRONSON AVE @ COMMISSIONER ST/SLATER ST (0001679),2015,11,1,,366768.7019,5030948.5729
BRONSON AVE @ FIFTH AVE/MADAWASKA DR (0006977),2015,13,1,,367614.1721,5028936.6981
BRONSON AVE @ FIRST AVE (0007719),2015,2,,,367489.7071,5029236.557
BRONSON AVE @ FLORA ST (0007172),2015,1,,,367191.7049,5029940.5641
BRONSON AVE @ FOURTH AVE (0007224),2015,3,,,367583.7079,5029009.5551
BRONSON AVE @ GILMOUR ST (0006761),2015,1,,,367031.7041,5030321.5671
BRONSON AVE @ GLADSTONE AVE (0002110),2015,14,,3,367133.7041,5030081.5649
BRONSON AVE @ GLOUCESTER ST (0005124),2015,2,,,366833.7019,5030792.5721
BRONSON AVE @ HOLMWOOD AVE (0007215),2015,1,,,367700.7079,5028729.5529
BRONSON AVE @ HWY 417 BRONSON IC121AR51 (0002693),2015,5,1,,367288.7049,5029710.5619
BRONSON AVE @ IMPERIAL AVE/PLYMOUTH ST (0010859),2015,6,,,367318.706,5029643.5611
BRONSON AVE @ JAMES ST (0005694),2015,1,,,367066.7041,5030241.5671
BRONSON AVE @ KIPPEWA DR (0007226),2015,2,,,367556.7071,5029075.5559
BRONSON AVE @ LAKESIDE AVE (0007223),2015,1,,,367655.7079,5028838.554
BRONSON AVE @ LAURIER AVE (0006342),2015,4,,2,366804.7019,5030861.5729
BRONSON AVE @ LISGAR ST (0006356),2015,2,,,366898.643,5030640.794
BRONSON AVE @ MACLAREN ST (0006338),2015,4,,,366999.703,5030399.5679
BRONSON AVE @ MCLEOD ST (0007173),2015,1,,,367160.7049,5030015.5649
BRONSON AVE @ POWELL AVE (0007212),2015,13,,1,367387.8789,5029477.214
BRONSON AVE @ PRIMROSE AVE (0006344),2015,2,,1,366885.703,5030669.571
BRONSON AVE @ QUEEN ST (0006358),2015,1,,,366708.7011,5031094.5751
BRONSON AVE @ RENFREW AVE (0007197),2015,2,,,367356.706,5029551.56
BRONSON AVE @ SOMERSET ST (0002218),2015,7,1,1,366968.1871,5030475.1181
BRONSON AVE @ SUNNYSIDE AVE/UNIVERSITY RD - CA (0007209),2015,24,,1,367922.7101,5028091.5471
BRONSON AVE @ THIRD AVE (0007716),2015,3,,,367550.7071,5029087.5559
BRONSON AVE btwn ARLINGTON AVE & RAYMOND ST (__3ZA3B3),2015,1,,,367237.52338,5029831.98655
BRONSON AVE btwn BREWER WAY & RIVERSIDE DR RAMPS 34B & 42A-3 (__3ZA3BR),2015,9,,,368266.22705,5027478.37329
BRONSON AVE btwn BRONSON AVE NB ON RAMP 42 & BRONSON AVE SB ON RAMP 43 (__3ZA3NZ),2015,2,,,367769.50414,5028380.4323
BRONSON AVE btwn BRONSON AVE RAMP 34 & AIRPORT PKWY/BRONSON AVE RAMP 2 (__3ZA3AA),2015,1,,,368621.48602,5026897.40919
BRONSON AVE btwn BRONSON AVE SB ON RAMP 43 & SUNNYSIDE AVE/UNIVERSITY  (__3ZA3NU),2015,5,,,367865.2911,5028195.82
BRONSON AVE btwn CARLING AVE & FIRST AVE (__3ZA3OQ),2015,4,,,367473.2071,5029277.55755
BRONSON AVE btwn CHRISTIE ST & JAMES ST (__3ZA30B),2015,1,,,367058.7041,5030261.0671
BRONSON AVE btwn COOPER ST & SOMERSET ST W (__3ZA33L),2015,3,,,366950.6241,5030517.1651
BRONSON AVE btwn FINDLAY AVE & BRONSON AVE SB OFF RAMP 34 (__3ZA3N5),2015,4,,,367741.11428,5028569.85072
BRONSON AVE btwn FIRST AVE & SECOND AVE (__3ZA3OO),2015,1,,,367504.7071,5029199.557
BRONSON AVE btwn FLORA ST & ARLINGTON AVE (__3ZBODB),2015,2,,,367207.2049,5029904.06355
BRONSON AVE btwn FLORENCE ST & GLADSTONE AVE (__3ZA1WP),2015,4,,,367116.2041,5030123.56545
BRONSON AVE btwn FOURTH AVE & MADAWASKA DR (__3ZA3NE),2015,1,,,367598.94,5028973.1266
BRONSON AVE btwn HWY417 IC121A RAMP51 & PLYMOUTH ST (__3ZA3B2),2015,1,,,367303.70545,5029677.0615
BRONSON AVE btwn LAKESIDE AVE & LAKEVIEW TER (__3ZA3NB),2015,1,,,367671.7079,5028800.05345
BRONSON AVE btwn LAKEVIEW TER & HOLMWOOD AVE (__3ZA3N0),2015,2,,,367694.2079,5028745.5529
BRONSON AVE btwn LISGAR ST & COOPER ST (__3ZA33P),2015,3,,,366915.85205,5030600.00305
BRONSON AVE btwn MADAWASKA DR & OLD SUNSET BLVD (__3ZA3ND),2015,1,,,367621.44,5028920.12605
BRONSON AVE btwn OLD SUNSET BLVD & LAKESIDE AVE (__3ZA3NC),2015,1,,,367642.2079,5028871.054
BRONSON AVE btwn PLYMOUTH ST & RENFREW AVE (__3ZA3B1),2015,5,,,367337.706,5029597.56055
BRONSON AVE btwn POWELL AVE & CLEMOW AVE (__3ZA3OX),2015,2,,,367404.29245,5029437.38645
BRONSON AVE btwn PRIMROSE AVE & LISGAR ST (__3ZA33R),2015,1,,,366892.173,5030655.1825
BRONSON AVE btwn RAYMOND ST & HWY417 IC121A RAMP51 (__3ZA3O9),2015,1,,,367271.11066,5029753.72865
BRONSON AVE btwn RENFREW AVE & POWELL AVE (__3ZA3BZ),2015,5,,,367372.29245,5029514.387
BRONSON AVE btwn RIVERSIDE DR RAMPS 34B & 42A-3 & BRONSON AVE RAMP 34 (__3ZA3BK),2015,4,,,368456.31788,5027107.72658
BRONSON AVE btwn SECOND AVE & THIRD AVE (__3ZA3OM),2015,3,,,367535.2071,5029125.05645
BRONSON AVE btwn SOMERSET ST W & MACLAREN ST (__3ZBODK),2015,1,,,366983.94505,5030437.343
BRONSON AVE btwn UNIVERSITY RD & BREWER WAY (__3ZA3BT),2015,9,,,368017.17143,5027929.69529
BRONSON AVE NB OFFRAMP 24 btwn BRONSON AVE & BRONSON PL (__30QAO8),2015,1,,,367796.1136,5028360.96435
BRONSON AVE RAMP 24A btwn BRONSON AVE RAMP 42A-1/42A-2 & BRONSON AVE R (__3ZAYCO),2015,1,,,368549.21334,5027063.40994
BRONSON AVE RAMP 36 btwn BRONSON AVE & HERON RD (__3ZAYBF),2015,1,,,368631.32736,5026744.97617
BRONSON AVE RAMP 42A-3 btwn BRONSON AVE & BRONSON AVE RAMP 42A-2/42B (__3ZAYCR),2015,1,,,368449.11961,5027138.98117
BRONSON AVE/BRONSON/HERON RAMP 35 @ HERON RD (0002386),2015,7,,,368640.943,5026697.791
BRONSON PL @ BRONSON AVE NB OFFRAMP 24 (0007106),2015,1,,,367840.337,5028399.1811
BRONSON PL @ COLONEL BY DR (0006903),2015,2,,,367808.709,5028521.551
BRONSON PL btwn FULTON AVE & COLONEL BY DR (__3ZA9I3),2015,1,,,367809.209,5028502.551
BROOKFIELD RAMP 52B btwn AIRPORT PKWY & TO BE DETERMINED (__3ZAY0K),2015,1,,,368889.37743,5026310.76595
BROOKFIELD RD @ 200 W OF FLANNERY DR (0008784),2015,2,,1,368503.2546,5026257.0366
BROOKFIELD RD btwn CLOVER ST & CARLSEN AVE (__3ZA9YM),2015,1,,,369376.5215,5026349.38755
BROOKFIELD RD btwn KALADAR AVE & TRAVERSE DR (__3ZA9YQ),2015,1,,,369836.13755,5026400.53639
BROOKFIELD RD btwn RIVERSIDE DR/HOG'S BACK RD & 200 W OF FLANNERY DR (__3ZA225A),2015,3,,,368337.35111,5026238.59583
BROOKSTONE ST/HATHAWAY DR @ CRESTHAVEN DR (0009673),2015,1,,,366780.2989,5015698.314
BROPHY DR @ FOURTH LINE RD (0003596),2015,1,,,360738.64,5005671.3411
BROPHY DR @ HWY 416 BANKFIEL IC57R34 (0001078),2015,2,,,364561.3129,5007931.5219
BROPHY DR btwn MOODIE DR & WILLIAM MCEWEN DR (__3ZA4KN),2015,1,,,363508.26069,5007313.35602
BROUGHTON ST btwn MANNING CRT & BRYANT ST (__4V7PJW),2015,1,1,,349738.22457,5020798.15417
BROWNING AVE btwn DIXIE ST & PULLEN AVE (__3ZA1V7),2015,1,,,372415.726,5029863.057
BROXBURN CRES btwn HARTHILL WAY W & KIPPEN PL (__6TU39K),2015,1,,,362716.44208,5013835.71196
BRUCE ST @ DOW ST (0001796),2015,1,,,385255.7989,5011167.417
BRUIN RD @ CEDARVIEW RD (0005240),2015,1,,,359230.526,5020937.0381
BRUYERE ST @ DALHOUSIE ST (0008438),2015,1,,,367827.7019,5032851.5899
BRUYERE ST @ KING EDWARD AVE (0011437),2015,2,,,368140.703,5033039.5921
BRUYERE ST @ SUSSEX DR (0007744),2015,3,,,367538.6551,5032668.426
BRUYERE ST btwn SUSSEX DR & PARENT AVE (__3ZBOXN),2015,1,,,367614.08856,5032714.58319
BUCKLAND RD btwn DEVINE RD & FARWEL ST (__3ZA6HF),2015,1,,,394507.58423,5024056.06195
BUENA VISTA RD @ CLOVERDALE RD (0005947),2015,1,,,369394.7019,5034887.6079
BUENA VISTA RD @ MANOR AVE (0005795),2015,1,,,368789.9381,5034874.68
BUFFLEHEAD WAY btwn SPARTINA ST & FINDLAY CREEK DR (__67PTO8),2015,1,,,374732.14017,5019834.72526
BULLMAN ST @ PARKDALE AVE (0006500),2015,1,,1,364994.6959,5029622.5619
BUNCHBERRY WAY btwn ROCKROSE WAY & WILLOWMERE WAY (__8A9OPI),2015,1,,,374020.71755,5019773.80345
BURGUNDY LANE W @ VINEYARD DR W (0003827),2015,1,,,378811.7329,5036943.594
BURKE ST @ MCBEAN ST (0000134),2015,1,1,,357439.6159,5005481.3411
BURLAND ST @ CARLING AVE (0002773),2015,1,1,,359278.6699,5024164.5121
BURNSIDE AVE @ HINCHEY AVE (0006325),2015,1,,,364938.6959,5030162.5671
BURNSIDE AVE @ STONEHURST AVE (0006334),2015,1,,,365083.6959,5030222.5679
BURRIS LANE @ ELEANOR DR (0001340),2015,1,,,364963.6989,5025020.5219
BURRIS LANE @ MERIVALE RD (0002014),2015,6,,,364880.6981,5025067.5219
BURTON @ ENTERPRISE ST(PRESCOTT/RU (0010151),2015,1,,,394725.8751,5021990.446
BURTON RD btwn FRONTIER RD & TO BE DETERMINED (__3ZA6VW),2015,1,,,390387.34355,5020298.4555
BY WARD MARKET SQ btwn YORK ST & GEORGE ST (__3ZBOX6),2015,1,,,367982.7041,5032270.0845
BYRON AVE @ CHURCHILL AVE (0006651),2015,2,,,363274.6901,5028180.549
BYRON AVE @ HARMER AVE (0005583),2015,1,,,364863.697,5028888.5559
BYRON AVE @ HOLLAND AVE (0005636),2015,5,,,365014.697,5028958.5559
BYRON AVE @ ISLAND PARK DR (0006365),2015,7,,,364255.694,5028603.5529
BYRON AVE @ KIRKWOOD AVE (0006296),2015,3,,,363866.6929,5028431.5521
BYRON AVE @ REDWOOD AVE (0011571),2015,1,,,361998.6849,5027178.54
BYRON AVE @ ROOSEVELT AVE (0002307),2015,2,1,,363035.689,5028061.5479
BYRON AVE @ WAVELL AVE (0011573),2015,1,,,362189.4241,5027364.5
BYRON AVE @ WINDERMERE AVE (0006730),2015,1,,,362316.9449,5027481.2389
BYRON AVE btwn BRIERWOOD AVE & GOLDEN AVE (__3ZA00J),2015,1,,,362852.32545,5027956.1675
BYRON AVE btwn BROADVIEW AVE & HIGHLAND AVE (__3ZA091),2015,1,,,362725.30844,5027860.30093
BYRON AVE btwn CLARENDON AVE & HARMER AVE N (__3ZA017),2015,2,,,364749.69645,5028836.0555
BYRON AVE btwn HARMER AVE N & HOLLAND AVE (__3ZA02Y),2015,1,,,364939.197,5028923.5559
BYRON AVE btwn HIGHLAND AVE & BRIERWOOD AVE (__3ZA098),2015,1,,,362787.09447,5027911.00787
BYRON AVE btwn LOCKHART AVE & SHERBOURNE RD (__3ZAA1K),2015,1,,,361823.31071,5026934.409
BYWARD MARKET @ GEORGE ST (0007766),2015,1,,,368020.7041,5032211.5841
BYWARD MARKET @ YORK ST (0007624),2015,1,,,367944.7041,5032328.5849
CADBORO RD @ OGILVIE RD (0012429),2015,2,,,373600.7241,5032664.577
CADBORO RD btwn OGDEN ST & OGILVIE RD (__3ZA7US),2015,1,,,373553.90966,5032786.81419
CAESAR AVE btwn CLEOPATRA DR & CLEOPATRA DR (__3ZA5ES),2015,2,,,365674.68445,5021087.89171
CAHILL DR    W btwn UPLANDS DR & TWYFORD ST (__3ZBN64),2015,2,,,370191.41867,5023345.14803
CAHILL DR @ HUNT CLUB RD (0011394),2015,3,,,372407.734,5024542.517
CAHILL DR @ MARLIN PRIV E/SANDHAM PRIV E (0012069),2015,1,,,371841.731,5024742.5189
CAHILL DR @ PEBBLE RD (0007023),2015,1,,,371617.7299,5024577.5181
CAHILL DR @ UPLANDS DR (0007392),2015,2,,,370087.7241,5023246.5079
CAHILL DR @ VERDON PRIV (0007040),2015,2,,1,372013.7321,5024844.5189
CAHILL DR btwn ALBION RD S & SANDHAMN PRIV (__3ZA9XL),2015,1,,,371749.96172,5024687.0544
CAHILL DR btwn SANDHAMN PRIV & SANDHAMN PRIV (__3ZA9EX),2015,1,,,371808.731,5024723.0185
CALAVERAS AVE @ CLARIDGE DR (0009752),2015,1,,,364735.314,5015710.5581
CALAVERAS AVE @ LONGFIELDS DR (0010987),2015,1,,,364359.6951,5015493.6641
CALAVERAS AVE @ PALMADEO DR (0010203),2015,1,,,365048.306,5015906.1699
CALAVERAS AVE btwn PLUMAS GT & PALMADEO DR (__37ZO6M),2015,1,,,364922.82144,5015834.37119
CALDER AVE btwn MAJOR ST & FIELD ST (__3ZAALH),2015,1,,,362545.12123,5024524.6736
CALDWELL AVE @ MERIVALE RD (0011432),2015,5,,,364907.4,5026230.4121
CALDWELL AVE btwn MORISSET AVE & MEDFORD ST (__3ZAA5Y),2015,2,,,364520.90539,5026087.65702
CAMBIOR CRES btwn GOLDRIDGE DR & GOLDRIDGE DR (__3ZADJY),2015,1,,,349429.60915,5019604.63604
CAMBRIAN RD @ CEDARVIEW RD (0001571),2015,2,,,363002.6729,5011834.403
CAMBRIAN RD @ KILBIRNIE DR/TUCANA WAY (0013607),2015,1,,,365113.837,5013068.7159
CAMBRIAN RD @ REGATTA AVE (0013606),2015,2,,,364535.3581,5012715.369
CAMBRIAN RD @ RIVER MIST RD (0014647),2015,1,,,364357.1859,5012611.7082
CAMBRIAN RD @ TWIN ELM RD N (0000847),2015,1,,,359362.6441,5009763.38
CAMBRIAN RD btwn GREENBANK RD & KILBIRNIE DR (__5DCWEP),2015,1,,,364939.26205,5012970.5655
CAMBRIAN RD btwn RICHMOND RD & END (__3ZA2HT),2015,1,,,358318.28841,5009023.57996
CAMBRIDGE ST    N btwn GLADSTONE AVE & ARLINGTON AVE (__3ZAAJT),2015,1,,,367079.9175,5029921.743
CAMBRIDGE ST    N btwn LAURIER AVE W & PRIMROSE AVE (__3ZA150),2015,1,,,366776.75522,5030724.04917
CAMBRIDGE ST @ CARLING AVE (0007138),2015,1,,,367353.706,5029274.5581
CAMBRIDGE ST @ CLEMOW AVE (0007362),2015,1,,,367325.706,5029340.5581
CAMBRIDGE ST @ SOMERSET ST (0006339),2015,2,,,366899.1871,5030432.6019
CAMEO DR @ MAITLAND AVE (0003215),2015,3,,,364152.9581,5025146.1419
CAMERON AVE @ LEONARD AVE (0007790),2015,1,,,368547.7129,5028031.546
CAMERON ST @ REGIONAL RD 174 (0012883),2015,9,,,389858.217,5042616.9879
CAMPBELL AVE @ DOHENY ST (0003072),2015,1,,,363510.6921,5026669.5359
CAMPEAU DR @ CONACHER GT (0011761),2015,1,,,351581.257,5019753.18
CAMPEAU DR @ HAWKSTONE GT (0008754),2015,2,,,352308.9079,5020329.16
CAMPEAU DR @ HERLIHEY WAY (0012766),2015,3,,,350508.5849,5019177.4841
CAMPEAU DR @ HUNTMAR DR (0011612),2015,5,,,349053.6082,5018056.4644
CAMPEAU DR @ KANATA AVE (0012003),2015,8,,,350594.8671,5019401.9441
CAMPEAU DR @ KNUDSON DR (0011764),2015,2,,,351807.6151,5019846.4729
CAMPEAU DR @ TERON RD/COLCHESTER SQ (0009033),2015,9,,1,352563.7219,5020467.5381
CAMPEAU DR @ TERRY FOX DR (0008211),2015,12,,,350454.034,5019013.214
CAMPEAU DR btwn COLCHESTER SQ/TERON RD & MARCH RD (__3ZAZVP),2015,1,,,352702.67633,5020468.68797
CAMPEAU DR btwn CONACHER GT & KNUDSON DR (__30QIX1),2015,1,,,351694.74443,5019799.10881
CAMPEAU DR btwn GRAY CRES & BELLROCK DR (__4H4EEZ),2015,1,,,352125.57134,5020109.8574
CAMPEAU DR btwn KANATA AVE & STONECROFT TER (__3ZA5R3),2015,1,,,350913.32449,5019615.4056
CAMPEAU DR btwn TERRY FOX DR & HERLIHEY WAY (__5ZYNI8),2015,1,,,350478.9807,5019096.0864
CAMPEAU DR/HWY 417 MARCH IC138R63 @ MARCH RD (0009710),2015,26,1,,352841.6241,5020476.4781
CANAAN RD @ REGIONAL RD 174 (0012882),2015,3,,,395771.817,5043413.5589
CANAAN RD btwn WILHAVEN DR & Continuation of CANAAN RD (__3ZA5G1),2015,1,,,396626.80536,5041616.64077
CANADAIR PRIV btwn HUNT CLUB RD & AVRO JETLINER PRIV (__4B2FCO),2015,1,,,368736.077,5022229.90355
CANARY ST @ NAVAN RD (0004214),2015,1,,,386696.791,5031802.523
CANDLEWOOD ST btwn BOISFRANC CIRC & CHERINGTON CRES (__45I7DO),2015,1,,,385580.11369,5035497.74162
CANON SMITH DR btwn FITZROY ST & GALETTA SIDE RD (__3ZAC0J),2015,1,,,328572.02124,5036953.64228
CANON SMITH DR btwn OLD BIRCH RD & AYLWIN RD (__3ZACAP),2015,1,,,327179.32842,5038587.22773
CANOTEK RD @ RAINBOW ST (0009490),2015,1,,,376228.7279,5035170.5899
CANOTEK RD @ SHEFFORD RD (0009369),2015,3,,,376029.7271,5035093.5899
CANOTEK RD btwn TO BE DETERMINED & GREEN CREEK DR (__3ZA129),2015,1,,,376595.36439,5035749.66704
CANTERBURY AVE @ URBANDALE DR (0008919),2015,1,,,372594.7299,5028050.543
CANTIN ST btwn MONTFORT ST & ST. DENIS ST (__3ZA8XT),2015,1,,,370957.87734,5033771.90245
CANYON WALK DR btwn MOUNTAIN MEADOWS CRES & MOUNTAIN MEADOWS CRES (__3ZAZ4Q),2015,1,,,368452.83794,5016510.48708
CAPILANO DR @ GILBEY DR (0001435),2015,1,,,364812.6981,5024354.5159
CAPILANO DR btwn WITHROW AVE & KERRY CRES (__3ZBOK5),2015,1,,,364682.38627,5024269.66617
CAPRIHANI WAY btwn LOBELIA WAY & END (__4VGRQC),2015,1,,,386158.28684,5038341.0353
CARDEVCO RD @ CARP RD (0005697),2015,1,,,345928.5619,5017477.4641
CARIBOU AVE btwn EVELYN ST & CARLETON CATHCART ST (__3ZA1P2),2015,1,,,351004.14785,5013352.53043
CARILLON ST @ HANNAH ST (0010006),2015,3,,,370155.709,5033390.591
"CARILLON ST btwn DESROSIERS, RUE ST & BARIBEAU ST (__3ZA8UB)",2015,1,,,369952.209,5033367.5921
CARILLON ST btwn DUROCHER ST & HANNAH ST (__3ZA8UE),2015,1,,,370086.709,5033383.09155
CARINA CRES E @ HALF MOON BAY (0014319),2015,1,,,364758.9321,5013246.3441
CARLETON AVE @ PREMIER AVE (0006141),2015,1,,,364095.6929,5029257.5589
CARLETON AVE @ RICHMOND RD (0005616),2015,1,,,364238.7841,5028930.5581
CARLETON AVE @ SCOTT ST (0006124),2015,1,,,364114.6929,5029214.5589
CARLETON AVE btwn CLEARVIEW AVE & SUNNYMEDE AVE (__3ZA0G7),2015,1,,,363990.63587,5029513.86729
CARLING AVE @ 640 W OF RANGE RD/D.N.D. ENTRANC (0004603),2015,1,,,353357.6329,5022979.5
CARLING AVE @ BAYSHORE DR/BIRCHDALE AVE (0000021),2015,6,,,359003.3129,5023989.7471
CARLING AVE @ BEDALE DR (0000512),2015,1,,,357223.6581,5023713.5071
CARLING AVE @ BROADVIEW AVE (0006707),2015,12,,,363180.6901,5026638.5351
CARLING AVE @ CARLING RMP 35 (0002391),2015,1,,,360927.6789,5025196.5219
CARLING AVE @ CARLING RMP 56 (0002392),2015,2,,,360874.6789,5025161.5219
CARLING AVE @ CARLINGWOOD SC (0008881),2015,4,,1,362071.9482,5025918.3478
CARLING AVE @ CHAMPAGNE AVE (0002024),2015,3,,,366627.7041,5028810.554
CARLING AVE @ CHURCHILL AVE (0002149),2015,4,,,363775.6929,5027013.5389
CARLING AVE @ CIVIC HOSPITAL (0008793),2015,7,,,365790.123,5028277.1139
CARLING AVE @ CLYDE AVE/COLE AVE (0006984),2015,8,,,363520.6921,5026850.537
CARLING AVE @ CONNAUGHT AVE (0002143),2015,7,,,360770.6781,5025117.5211
CARLING AVE @ CORKSTOWN RD (0001127),2015,3,,,357999.6619,5023424.5049
CARLING AVE @ CROYDON AVE (0002642),2015,4,,,360658.6781,5025042.52
CARLING AVE @ EDGEWORTH AVE (0002718),2015,6,,1,361262.6811,5025424.5241
CARLING AVE @ FAIRLAWN AVE/WOODROFFE AVE E (0002393),2015,10,,,361934.6841,5025830.5279
CARLING AVE @ FOX CRES (0002767),2015,2,,,361526.6819,5025575.526
CARLING AVE @ HARE AVE (0002141),2015,1,,,362380.686,5026133.531
CARLING AVE @ HIGHLAND AVE (0006705),2015,1,1,,363303.691,5026716.5359
CARLING AVE @ HOLLAND AVE (0002146),2015,10,,,365416.6989,5028038.5479
CARLING AVE @ HWY 417 CARLING IC124R67 (0002104),2015,4,,,364332.6951,5027522.543
CARLING AVE @ IROQUOIS RD (0003145),2015,1,,,362213.686,5026025.5301
CARLING AVE @ IRVING PL/MAPLE DR (0006872),2015,1,,,366186.7019,5028527.5521
CARLING AVE @ ISLAND PARK DR (0010785),2015,9,,,365348.6989,5027997.5479
CARLING AVE @ KEMPSTER AVE/FAMOUS PLAYERS THEA (0002395),2015,5,,,359210.669,5024119.5121
CARLING AVE @ KIRKWOOD AVE S (0002209),2015,22,,,364351.6951,5027337.5419
CARLING AVE @ MAITLAND AVE/SHERBOURNE RD (0002641),2015,13,,,362942.689,5026488.534
CARLING AVE @ MAPLECREST AVE (0002763),2015,1,,,362600.6871,5026252.5321
CARLING AVE @ MELROSE AVE (0006992),2015,5,,,365970.7019,5028391.551
CARLING AVE @ MELWOOD AVE (0002762),2015,1,,,362513.6871,5026198.531
CARLING AVE @ MERIVALE RD (0002148),2015,12,,,364894.697,5027700.5449
CARLING AVE @ MERIVALE RD EXTENSION (0008794),2015,1,,,364950.6981,5027734.5449
CARLING AVE @ MOODIE DR/JAMES CUMMINGS AVE W (0000158),2015,4,,,356001.651,5023937.509
CARLING AVE @ NORTON AVE (0002643),2015,1,,,360637.677,5025012.52
CARLING AVE @ OAKLEY AVE (0002571),2015,1,,,359070.6679,5024032.511
CARLING AVE @ OTTAWA RIVER PKWY WB (0002142),2015,1,,,360856.6789,5025170.5219
CARLING AVE @ PARKDALE AVE (0008792),2015,6,1,,365626.7,5028173.549
CARLING AVE @ PINECREST  RD/GREENVIEW AVE (0001630),2015,9,,,360006.674,5024632.5159
CARLING AVE @ PRESTON ST (0002161),2015,14,4,,366829.7049,5028935.5551
CARLING AVE @ RICHARDSON SIDE RD (0011927),2015,1,,,351834.6211,5022270.494
CARLING AVE @ RICHMOND RD (0010847),2015,13,,,360245.6751,5024781.5181
CARLING AVE @ RIFLE RD (0000579),2015,1,,,353890.637,5023314.503
